episode,frames,t_start,t_end,duration_s,det_ratio,median_conf,missing_xy_ratio,displacement_px,path_len_px,median_speed_px_s,p95_speed_px_s,max_step_px,p99_speed_px_s,max_speed_px_s,jump_ratio,tortuosity,keep,reject_reason
55,19,135.707,136.429,0.7220000000000084,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
56,19,137.591,138.313,0.72199999999998,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
57,19,139.475,140.196,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
58,19,141.359,142.08,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
60,19,148.813,149.535,0.7220000000000084,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
61,19,150.697,151.418,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
62,19,152.581,153.302,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
63,19,154.464,155.186,0.7220000000000084,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
64,19,156.348,157.07,0.72199999999998,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
65,19,158.232,158.953,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
66,19,160.116,160.837,0.7209999999999752,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
68,19,170.256,170.977,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
69,19,172.139,172.861,0.72199999999998,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
70,19,174.023,174.744,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
71,19,175.907,176.628,0.7209999999999752,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
72,19,177.79,178.512,0.7220000000000084,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
73,19,179.674,180.396,0.72199999999998,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
74,19,181.558,182.279,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
76,19,191.497,192.219,0.72199999999998,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
77,249,193.381,203.321,9.939999999999998,0.6144578313253012,0.8895,0.0,3123.361545138507,4003.925130580227,417.94855957304463,855.8887534012566,101.25186367173681,1487.176475020649,2531.296591793924,0.004032258064516129,1.2819281638439557,False,jump_max_speed
78,19,204.483,205.204,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
79,19,206.367,207.088,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
80,19,208.25,208.972,0.7220000000000084,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
81,19,210.134,210.856,0.7220000000000084,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
82,19,212.018,212.739,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
84,19,216.747,217.469,0.72199999999998,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
85,19,218.631,219.352,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
86,19,220.515,221.236,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
89,118,228.37,233.059,4.688999999999993,0.4406779661016949,0.8331,0.0,13.50761418608049,46.04038377154024,3.7257549570476827,38.67949167145618,4.322183823022786,85.65412820350791,108.05459557559114,0.0,3.4084763702375036,False,too_small_displacement
91,19,241.757,242.478,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
93,19,248.089,248.81,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
95,40,253.42,254.983,1.5630000000000166,0.075,0.8177,0.0,46.45086906614343,46.7069973424054,8.459462157838304,52.09980960594983,17.543399556528207,411.95838559875824,438.5849889132924,0.0,1.005513960909908,False,few_detections
97,19,264.361,265.083,0.7220000000000368,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
99,86,269.05,272.457,3.4069999999999823,0.22093023255813954,0.8352,0.03488372093023251,12.900652115300351,21.814166107325583,1.8751536730421738,28.693155941036366,4.975703467852561,84.04149210661961,124.39258669625039,0.0,1.6909351490420923,False,too_small_displacement
100,24,273.619,274.541,0.9219999999999686,0.08333333333333333,0.7626999999999999,0.0,1.368003289469808,1.3681541772240131,0.23048861143230293,0.2371708245143923,1.2050265557241635,23.55019541803577,30.125663893131488,0.0,1.0001102978007193,False,few_detections
101,20,275.703,276.465,0.7620000000000005,0.05,0.7652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,few_detections
102,19,277.627,278.349,0.72199999999998,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
103,20,279.511,280.272,0.7609999999999673,0.05,0.7929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,few_detections
104,19,281.435,282.156,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
105,19,283.318,284.04,0.7220000000000368,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
107,20,290.573,291.334,0.7610000000000241,0.05,0.8023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,few_detections
108,19,292.497,293.218,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
109,19,294.38,295.102,0.72199999999998,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
110,19,296.264,296.985,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
111,22,298.148,298.989,0.8409999999999513,0.13636363636363635,0.8586,0.0,3.189035120534007,3.190300180564885,0.6864765108816865,33.750856470593455,1.3500342588245364,33.75085647063398,33.75085647064411,0.0,1.0003966905296002,False,few_detections
112,19,300.152,300.873,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
113,19,302.035,302.757,0.72199999999998,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
114,19,303.919,304.64,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
116,19,310.292,311.013,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
117,19,312.175,312.897,0.72199999999998,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
118,37,314.059,315.502,1.4429999999999836,0.02702702702702703,0.8973,0.18918918918918914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,few_detections
119,19,316.664,317.386,0.7220000000000368,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
123,29,332.976,334.099,1.1229999999999905,0.034482758620689655,0.7794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,few_detections
124,19,335.261,335.982,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
125,19,337.145,337.866,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
126,19,339.028,339.75,0.72199999999998,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
127,19,340.912,341.633,0.7210000000000036,0.0,,1.0,0.0,0.0,,,,,,1.0,inf,False,too_few_frames
128,57,342.796,345.04,2.244000000000028,0.10526315789473684,0.8184,0.0,11.834182523520681,18.31556354562445,3.4173271719296707,43.568343500784884,3.8012693932422685,86.7761010797196,92.71388764006252,0.0,1.5476830367642116,False,few_detections
